userid	date	label	clientappid	metricvalue
37221581	2016-02-06	recType:all::sends	03340	66751
37221581	2016-02-12	recType:all::sends	45451	67743
37221581	2016-02-06	recType:all::sends	0	1
37221581	2016-02-12	recType:all::sends	0	1
37221581	2016-02-20	recType:all::sends	0	1
37221581	2016-02-27	recType:all::sends	0	1
37221581	2016-03-04	recType:all::sends	0	1
37221581	2016-03-12	recType:all::sends	0	1
37221581	2016-03-19	recType:all::sends	0	1
37221581	2016-03-21	recType:all::sends	0	1
37221581	2016-03-28	recType:all::sends	0	1
37221581	2016-04-04	recType:all::sends	0	1
37221581	2016-04-16	recType:all::sends	0	1
37221581	2016-04-24	recType:all::sends	0	1
37221581	2016-05-02	recType:all::sends	0	1
37221581	2016-05-10	recType:all::sends	0	1
37221581	2016-05-16	recType:all::sends	0	1
37221581	2016-05-18	recType:all::sends	0	1
37221581	2016-05-21	recType:all::sends	0	1
37221581	2016-05-23	recType:all::sends	0	1
37221581	2016-05-24	recType:all::sends	0	1
37221581	2016-05-25	recType:all::sends	0	1
37221581	2016-05-26	recType:all::sends	0	1
37221581	2016-05-28	recType:all::sends	0	1
37221581	2016-05-31	recType:all::sends	0	1
37221581	2016-06-01	recType:all::sends	0	1
37221581	2016-06-02	recType:all::sends	0	1
37221581	2016-06-04	recType:all::sends	0	1
37221581	2016-06-06	recType:all::impressed_sends	0	1
37221581	2016-06-06	recType:all::opened_sends	0	1
37221581	2016-06-06	recType:all::sends	0	1
37221581	2016-06-07	recType:all::dismissed_sends	0	1
37221581	2016-06-07	recType:all::impressed_sends	0	1
37221581	2016-06-07	recType:all::sends	0	1
37221581	2016-06-08	recType:all::sends	0	1
37221581	2016-06-10	recType:all::impressed_sends	0	1
37221581	2016-06-10	recType:all::opened_sends	0	1
37221581	2016-06-10	recType:all::sends	0	1
37221581	2016-06-11	recType:all::sends	0	1
37221581	2016-06-12	recType:all::dismissed_sends	0	1
37221581	2016-06-12	recType:all::impressed_sends	0	1
37221581	2016-06-12	recType:all::sends	0	1
37221581	2016-06-13	recType:all::sends	0	1
37221581	2016-06-14	recType:all::dismissed_sends	0	1
37221581	2016-06-14	recType:all::impressed_sends	0	1
37221581	2016-06-14	recType:all::sends	0	1
37221581	2016-06-15	recType:all::impressed_sends	0	1
37221581	2016-06-15	recType:all::opened_sends	0	1
37221581	2016-06-15	recType:all::sends	0	1
37221581	2016-06-16	recType:all::impressed_sends	0	1
37221581	2016-06-16	recType:all::opened_sends	0	1
37221581	2016-06-16	recType:all::sends	0	1
37221581	2016-06-17	recType:all::dismissed_sends	0	1
37221581	2016-06-17	recType:all::impressed_sends	0	1
37221581	2016-06-17	recType:all::sends	0	1
37221581	2016-06-18	recType:all::impressed_sends	0	1
37221581	2016-06-18	recType:all::opened_sends	0	1
37221581	2016-06-18	recType:all::sends	0	1
37221581	2016-06-19	recType:all::impressed_sends	0	1
37221581	2016-06-19	recType:all::opened_sends	0	1
37221581	2016-06-19	recType:all::sends	0	1
37221581	2016-06-20	recType:all::dismissed_sends	0	1
37221581	2016-06-20	recType:all::impressed_sends	0	1
37221581	2016-06-20	recType:all::sends	0	1
37221581	2016-06-21	recType:all::sends	0	2
37221581	2016-06-22	recType:all::sends	0	1
37221581	2016-06-23	recType:all::sends	0	1
37221581	2016-06-24	recType:all::sends	0	1
37221581	2016-06-25	recType:all::sends	0	1
37221581	2016-06-26	recType:all::sends	0	1
37221581	2016-06-27	recType:all::sends	0	1
37221581	2016-06-28	recType:all::impressed_sends	0	1
37221581	2016-06-28	recType:all::sends	0	1
37221581	2016-06-29	recType:all::sends	0	1
37221581	2016-06-30	recType:all::sends	0	1
37221581	2016-07-01	recType:all::sends	0	1
37221581	2016-07-02	recType:all::sends	0	1
37221581	2016-07-03	recType:all::sends	0	1
37221581	2016-07-04	recType:all::sends	0	1
37221581	2016-07-05	recType:all::sends	0	1
37221581	2016-07-06	recType:all::sends	0	1
37221581	2016-07-07	recType:all::sends	0	1
37221581	2016-07-08	recType:all::sends	0	1
37221581	2016-07-09	recType:all::sends	0	1
37221581	2016-07-10	recType:all::sends	0	1
37221581	2016-07-11	recType:all::sends	0	1
37221581	2016-07-12	recType:all::sends	0	1
37221581	2016-07-13	recType:all::sends	0	1
37221581	2016-07-14	recType:all::sends	0	1
37221581	2016-07-15	recType:all::sends	0	2
37221581	2016-07-16	recType:all::sends	0	1
37221581	2016-07-17	recType:all::sends	0	1
37221581	2016-07-18	recType:all::sends	0	1
37221581	2016-07-19	recType:all::sends	0	1
37221581	2016-07-20	recType:all::sends	0	1
37221581	2016-07-21	recType:all::sends	0	1
37221581	2016-07-22	recType:all::sends	0	1
37221581	2016-07-23	recType:all::sends	0	1
37221581	2016-07-24	recType:all::sends	0	1
37221581	2016-07-25	recType:all::sends	0	1
37221581	2016-07-26	recType:all::sends	0	1
37221581	2016-07-27	recType:all::dismissed_sends	0	1
37221581	2016-07-27	recType:all::impressed_sends	0	1
37221581	2016-07-27	recType:all::sends	0	1
37221581	2016-07-28	recType:all::dismissed_sends	0	1
37221581	2016-07-28	recType:all::impressed_sends	0	1
37221581	2016-07-28	recType:all::sends	0	1
37221581	2016-07-29	recType:all::dismissed_sends	0	1
37221581	2016-07-29	recType:all::impressed_sends	0	2
37221581	2016-07-29	recType:all::opened_sends	0	1
37221581	2016-07-29	recType:all::sends	0	2
37221581	2016-07-30	recType:all::dismissed_sends	0	1
37221581	2016-07-30	recType:all::impressed_sends	0	1
37221581	2016-07-30	recType:all::sends	0	1
37221581	2016-07-31	recType:all::impressed_sends	0	1
37221581	2016-07-31	recType:all::opened_sends	0	1
37221581	2016-07-31	recType:all::sends	0	1
37221581	2016-08-01	recType:all::dismissed_sends	0	1
37221581	2016-08-01	recType:all::impressed_sends	0	1
37221581	2016-08-01	recType:all::sends	0	1
37221581	2016-08-02	recType:all::dismissed_sends	0	1
37221581	2016-08-02	recType:all::impressed_sends	0	1
37221581	2016-08-02	recType:all::sends	0	1
37221581	2016-08-03	recType:all::dismissed_sends	0	1
37221581	2016-08-03	recType:all::impressed_sends	0	1
37221581	2016-08-03	recType:all::sends	0	1
37221581	2016-08-04	recType:all::dismissed_sends	0	1
37221581	2016-08-04	recType:all::impressed_sends	0	1
37221581	2016-08-04	recType:all::sends	0	1
37221581	2016-08-05	recType:all::impressed_sends	0	1
37221581	2016-08-05	recType:all::opened_sends	0	1
37221581	2016-08-05	recType:all::sends	0	1
37221581	2016-08-07	recType:all::dismissed_sends	0	1
37221581	2016-08-07	recType:all::impressed_sends	0	1
37221581	2016-08-07	recType:all::sends	0	1
37221581	2016-08-08	recType:all::dismissed_sends	0	2
37221581	2016-08-08	recType:all::impressed_sends	0	2
37221581	2016-08-08	recType:all::sends	0	2
37221581	2016-08-09	recType:all::impressed_sends	0	1
37221581	2016-08-09	recType:all::sends	0	1
37221581	2016-08-10	recType:all::impressed_sends	0	1
37221581	2016-08-10	recType:all::sends	0	1
37221581	2016-08-11	recType:all::dismissed_sends	0	1
37221581	2016-08-11	recType:all::impressed_sends	0	1
37221581	2016-08-11	recType:all::sends	0	1
37221581	2016-08-12	recType:all::dismissed_sends	0	1
37221581	2016-08-12	recType:all::impressed_sends	0	1
37221581	2016-08-12	recType:all::sends	0	1
37221581	2016-08-13	recType:all::impressed_sends	0	1
37221581	2016-08-13	recType:all::opened_sends	0	1
37221581	2016-08-13	recType:all::sends	0	1
37221581	2016-08-14	recType:all::dismissed_sends	0	1
37221581	2016-08-14	recType:all::impressed_sends	0	1
37221581	2016-08-14	recType:all::sends	0	1
37221581	2016-08-15	recType:all::dismissed_sends	0	1
37221581	2016-08-15	recType:all::impressed_sends	0	1
37221581	2016-08-15	recType:all::sends	0	1
37221581	2016-08-16	recType:all::impressed_sends	0	1
37221581	2016-08-16	recType:all::opened_sends	0	1
37221581	2016-08-16	recType:all::sends	0	1
37221581	2016-08-17	recType:all::dismissed_sends	0	1
37221581	2016-08-17	recType:all::impressed_sends	0	1
37221581	2016-08-17	recType:all::sends	0	1
37221581	2016-08-18	recType:all::impressed_sends	0	1
37221581	2016-08-18	recType:all::opened_sends	0	1
37221581	2016-08-18	recType:all::sends	0	1
37221581	2016-08-19	recType:all::impressed_sends	0	1
37221581	2016-08-19	recType:all::sends	0	1
37221581	2016-08-20	recType:all::dismissed_sends	0	1
37221581	2016-08-20	recType:all::impressed_sends	0	2
37221581	2016-08-20	recType:all::opened_sends	0	1
37221581	2016-08-20	recType:all::sends	0	2
37221581	2016-08-21	recType:all::impressed_sends	0	1
37221581	2016-08-21	recType:all::opened_sends	0	1
37221581	2016-08-21	recType:all::sends	0	1
37221581	2016-08-23	recType:all::impressed_sends	0	2
37221581	2016-08-23	recType:all::opened_sends	0	2
37221581	2016-08-23	recType:all::sends	0	2
37221581	2016-08-24	recType:all::dismissed_sends	0	1
